,species,Temp,Nutr,N,avgRGR,sd,se,label
3,LM,18,high,8,0.15388017,0.02745871,0.00970812,b
12,SP,18,high,8,0.20044475,0.01353764,0.004786278,a
21,WB,18,high,8,0.16415157,0.01474493,0.005213119,b
1,LM,18,low,8,0.07242707,0.01855008,0.006558444,a
10,SP,18,low,8,0.08863098,0.02678126,0.009468605,a
19,WB,18,low,8,0.03923679,0.02109719,0.007458983,b
2,LM,18,med,8,0.16229854,0.02832025,0.010012721,
11,SP,18,med,8,0.18308773,0.02428079,0.008584554,
20,WB,18,med,8,0.13944602,0.02477418,0.008758997,
6,LM,24,high,8,0.22287016,0.01765347,0.006241444,
15,SP,24,high,8,0.21042729,0.02624397,0.009278643,
24,WB,24,high,8,0.1952421,0.01089227,0.003851,
4,LM,24,low,8,0.09107155,0.00988139,0.003493599,a
13,SP,24,low,7,0.0747884,0.01796122,0.006788705,a
22,WB,24,low,9,0.0255463,0.01808907,0.00602969,b
5,LM,24,med,8,0.18865564,0.02911148,0.010292464,a
14,SP,24,med,8,0.182407,0.01930207,0.006824313,a
23,WB,24,med,8,0.15099681,0.01195948,0.004228315,b
9,LM,30,high,8,0.221343,0.01166522,0.004124279,
18,SP,30,high,8,0.21011913,0.02201172,0.007782317,
27,WB,30,high,8,0.19700489,0.01423881,0.005034181,
7,LM,30,low,8,0.07107966,0.05074716,0.017941831,"a,b"
16,SP,30,low,8,0.0903626,0.02113502,0.007472358,a
25,WB,30,low,8,0.0167906,0.0235275,0.008318227,b
8,LM,30,med,8,0.21127494,0.01855416,0.006559886,a
17,SP,30,med,8,0.19020482,0.03650041,0.012904845,a
26,WB,30,med,8,0.15086704,0.03311457,0.01170777,b
